[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-04-21, 星期五, 9288, 1976, null, 11101, 0.163319, 阴, 1843, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-04-20, 星期四, 10190, 1911, null, 8874, -0.148298, 阴, 2047, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-04-19, 星期三, 10278, 3006, null, 9805, -0.048241, 雷阵雨, 2668, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-04-18, 星期二, 8956, 2204, null, 11262, 0.204759, 多云, 2906, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-04-17, 星期一, 5468, 1189, null, 6015, 0.090939, 小雨, 2946, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-04-16, 星期日, 12404, 3908, null, 10098, -0.228362, 雷阵雨, 5621, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-04-15, 星期六, 17946, 4517, null, 20359, 0.118523, 多云, 9693, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-04-14, 星期五, 10681, 2649, null, 11486, 0.070085, 多云, 5498, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-04-13, 星期四, 10566, 2276, null, 10696, 0.012154, 多云, 4619, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-04-12, 星期三, 10609, 2384, null, 10110, -0.049357, 多云, 4359, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-04-11, 星期二, 7447, 1891, null, 8478, 0.121609, 阴, 4151, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-04-10, 星期一, 5027, 911, null, 4316, -0.164736, 小雨, 1936, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-04-09, 星期日, 8269, 2157, null, 7342, -0.126260, 小雨, 3768, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-04-08, 星期六, 13710, 3118, null, 11966, -0.145746, 小雨, 5844, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-04-07, 星期五, 6568, 1047, null, 5556, -0.182145, 小雨, 2137, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-04-06, 星期四, 7516, 1024, null, 4423, -0.699299, 中雨, 1641, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-04-05, 星期三, 6441, 1247, null, 5175, -0.244638, 小雨, 1488, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-04-04, 星期二, 14427, 4790, null, 11294, -0.277404, 阴, 4754, SVM模型, null, 1, 清明节, 3]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-04-03, 星期一, 28346, 9059, null, 35564, 0.202958, 多云, 13837, SVM模型, null, 1, 清明节, 2]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-04-02, 星期日, 14509, 4352, null, 19770, 0.266110, 晴, 5779, SVM模型, null, 1, 清明节, 1]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-04-01, 星期六, 8776, 1436, null, 10485, 0.162995, 多云, 3472, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-03-31, 星期五, 5983, 769, null, 6211, 0.036709, 多云, 2131, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-03-30, 星期四, 4652, 783, null, 5077, 0.083711, 中雨, 2851, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-03-29, 星期三, 5042, 932, null, 5593, 0.098516, 小雨, 2437, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-03-28, 星期二, 6945, 1204, null, 7588, 0.084739, 阴, 3690, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-03-27, 星期一, 6895, 1194, null, 7239, 0.047520, 多云, 3098, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-03-26, 星期日, 14562, 2831, null, 18764, 0.223939, 晴, 3551, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-03-25, 星期六, 13081, 1773, null, 21688, 0.396855, 多云, 5186, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-03-24, 星期五, 5694, 732, null, 6307, 0.097194, 中雨, 2461, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-03-23, 星期四, 6040, 679, null, 8421, 0.282746, 阴, 3063, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-03-22, 星期三, 3847, 500, null, 4311, 0.107632, 中雨, 1409, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-03-21, 星期二, 3403, 800, null, 8558, 0.602360, 雨夹雪, 2834, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-03-20, 星期一, 4211, 501, null, 4323, 0.025908, 小雨, 1607, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-03-19, 星期日, 4471, 1055, null, 6456, 0.307466, 小雨, 2792, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-03-18, 星期六, 13140, 2152, null, 13495, 0.026306, 小雨, 5564, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-03-17, 星期五, 4358, 460, null, 4978, 0.124548, 小雨, 2041, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-03-16, 星期四, 3345, 483, null, 4165, 0.196879, 雨夹雪, 1775, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-03-15, 星期三, 1782, 337, null, 3274, 0.455712, 雨夹雪, 1466, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-03-14, 星期二, 4743, 944, null, 5642, 0.159341, 晴, 2570, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-03-13, 星期一, 2124, 94, null, 2444, 0.130933, 小雨, 1257, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-03-12, 星期日, 3241, 542, null, 2152, -0.506041, 小雨, 1180, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-03-11, 星期六, 10326, 1207, null, 7817, -0.320967, 小雨, 3755, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-03-10, 星期五, 4683, 672, null, 4268, -0.097235, 阴, 1643, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-03-09, 星期四, 4666, 610, null, 4455, -0.047363, 多云, 1961, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-03-08, 星期三, 4117, 1051, null, 4839, 0.149204, 晴, 2195, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-03-07, 星期二, 3559, 470, null, 3776, 0.057468, 多云, 1581, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-03-06, 星期一, 2933, 211, null, 2547, -0.151551, 多云, 1011, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-03-05, 星期日, 4063, 534, null, 3104, -0.308956, 小雨, 1402, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-03-04, 星期六, 8475, 869, null, 5239, -0.617675, 小雨, 2081, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-03-03, 星期五, 3805, 410, null, 3489, -0.090570, 多云, 1471, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-03-02, 星期四, 4058, 266, null, 3193, -0.270905, 晴, 1232, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-03-01, 星期三, 3328, 340, null, 2292, -0.452007, 晴, 859, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-02-28, 星期二, 4159, 603, null, 3951, -0.052645, 多云, 1627, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-02-27, 星期一, 4959, 314, null, 3001, -0.652449, 晴, 1117, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-02-26, 星期日, 6883, 1334, null, 6092, -0.129842, 多云, 2671, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-02-25, 星期六, 6615, 909, null, 8210, 0.194275, 晴, 2549, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-02-24, 星期五, 3404, 298, null, 3241, -0.050293, 多云, 909, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-02-23, 星期四, 1655, 138, null, 2272, 0.271567, 雨夹雪, 665, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-02-22, 星期三, 1929, 49, null, 1807, -0.067515, 中雨, 667, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-02-21, 星期二, 2474, 195, null, 2225, -0.111910, 阴, 713, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-02-20, 星期一, 3015, 171, null, 1849, -0.630611, 小雨, 673, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-02-19, 星期日, 5313, 834, null, 5195, -0.022714, 多云, 2198, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-02-18, 星期六, 6500, 892, null, 7015, 0.073414, 多云, 2264, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-02-17, 星期五, 3493, 371, null, 3461, -0.009246, 小雨, 1314, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-02-16, 星期四, 4700, 959, null, 4066, -0.155927, 小雨, 2198, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-02-15, 星期三, 4500, 486, null, 4112, -0.094358, 晴, 2198, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-02-14, 星期二, 4111, 325, null, 3878, -0.060083, 晴, 2198, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-02-13, 星期一, 3500, 426, null, 3351, -0.044464, 晴, 2198, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-02-12, 星期日, 6500, 751, null, 5846, -0.111871, 晴, 2198, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-02-11, 星期六, 12000, 941, null, 11499, -0.043569, 晴, 2198, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-02-10, 星期五, 15000, 2444, null, 13366, -0.122250, 多云, 2198, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-02-09, 星期四, 12000, 1656, null, 11027, -0.088238, 多云, 2198, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-02-08, 星期三, 7000, 974, null, 6798, -0.029715, 小雪, 2198, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-02-07, 星期二, 19351, 4015, null, 17261, -0.121082, 小雨, 2198, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-02-06, 星期一, 20000, 4105, null, 19584, -0.021242, 晴, 2198, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-02-05, 星期日, 24000, 3290, null, 19693, -0.218707, 多云, 2198, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-02-04, 星期六, 9000, 1221, null, 8793, -0.023541, 小雨, 2198, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-02-03, 星期五, 17172, 2530, null, 16126, -0.064864, 小雨, 2198, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-02-02, 星期四, 30675, 6045, 11313, 24674, -0.243211, 多云, 9212, SVM模型, null, 1, 春节, 7]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-02-01, 星期三, 45855, 10084, 16041, 33162, -0.382757, 阴, 14694, SVM模型, null, 1, 春节, 6]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-01-31, 星期二, 40089, 9107, 15013, 41091, 0.024385, 阴, 16775, SVM模型, null, 1, 春节, 5]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-01-30, 星期一, 31628, 6339, 11684, 40538, 0.219794, 晴, 14771, SVM模型, null, 1, 春节, 4]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-01-29, 星期日, 31231, 5674, 10116, 26284, -0.188213, 小雨, 7717, SVM模型, null, 1, 春节, 3]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-01-28, 星期六, 6779, 723, 2496, 7792, 0.130005, 多云, 1548, SVM模型, null, 1, 春节, 2]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-01-27, 星期五, 3164, 142, 697, 2153, -0.469577, 多云, 220, SVM模型, null, 1, 春节, 1]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-01-26, 星期四, 6180, 207, null, 3206, -0.927636, 晴, 510, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-01-25, 星期三, 4601, 271, null, 4428, -0.039070, 多云, 512, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-01-24, 星期二, 3892, 327, null, 5371, 0.275368, 阴, 511, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-01-23, 星期一, 4391, 252, null, 5333, 0.176636, 多云, 186, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-01-22, 星期日, 4151, 333, null, 5745, 0.277459, 多云, 231, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-01-21, 星期六, 4655, 239, null, 4825, 0.035233, 晴, 611, SVM模型, null, 0, null, null]
[DEBUG][2020-04-03][druid.sql.ResultSet]{conn-10020, pstmt-20005, rs-50006} Result: [2017-01-20, 星期五, 5250, 190, null, 3639, -0.442704, 晴, 521, SVM模型, null, 0, null, null]
