totalNum,order,pre1,pre2,pre3,pre7,weather,holidayType,weekType,classifier,weekday
12354,5647,6638,8427,10053,7474,0,1,0,6,3
36581,6636,12354,6638,8427,8238,0,1,0,6,4
41250,5984,36581,12354,6638,6670,0,1,0,6,5
40138,5114,41250,36581,12354,10014,0,1,1,6,6
29371,3101,40138,41250,36581,10053,0,1,1,6,7
18319,2530,29371,40138,41250,8427,0,1,0,6,1
6401,1388,18319,29371,40138,6638,0,1,0,6,2
5710,1848,6401,18319,29371,12354,0,0,0,5,3
6099,1868,5710,6401,18319,36581,0,0,0,5,4
5874,2537,6099,5710,6401,41250,0,0,0,5,5
8628,2220,5874,6099,5710,40138,0,0,1,6,6
8787,1550,8628,5874,6099,29371,0,0,1,6,7
7605,2165,8787,8628,5874,18319,0,0,0,5,1
9725,2623,7605,8787,8628,6401,0,0,0,5,2
9631,3305,9725,7605,8787,5710,0,0,0,5,3
9850,3314,9631,9725,7605,6099,0,0,0,5,4
10669,4783,9850,9631,9725,5874,0,0,0,5,5
20923,4375,10669,9850,9631,8628,0,0,1,6,6
15161,2282,20923,10669,9850,8787,0,0,1,6,7
8854,2932,15161,20923,10669,7605,0,0,0,5,1
7737,2034,8854,15161,20923,9725,0,0,0,5,2
8120,2457,7737,8854,15161,9631,0,0,0,5,3
9398,2978,8120,7737,8854,9850,0,0,0,5,4
10338,3337,9398,8120,7737,10669,0,0,0,5,5
18258,3384,10338,9398,8120,20923,0,0,1,6,6
11981,1088,18258,10338,9398,15161,0,0,1,6,7
6568,1956,11981,18258,10338,8854,0,0,0,5,1
6550,2113,6568,11981,18258,7737,0,0,0,5,2
5884,1343,6550,6568,11981,8120,1,0,0,5,3
4717,1632,5884,6550,6568,9398,1,0,0,5,4
4448,2421,4717,5884,6550,10338,0,0,0,5,5
11210,2397,4448,4717,5884,18258,0,0,1,6,6
11652,1449,11210,4448,4717,11981,0,0,1,6,7
6048,1449,11652,11210,4448,6568,0,0,0,2,1
6395,2119,6048,11652,11210,6550,0,0,0,2,2
5771,2171,6395,6048,11652,5884,0,0,0,2,3
7230,1696,5771,6395,6048,4717,0,0,0,2,4
7453,2892,7230,5771,6395,4448,0,0,0,2,5
12784,2211,7453,7230,5771,11210,0,0,1,6,6
12226,908,12784,7453,7230,11652,0,0,1,6,7
8495,1169,12226,12784,7453,6048,0,0,0,2,1
5190,1091,8495,12226,12784,6395,0,0,0,2,2
5317,1580,5190,8495,12226,5771,0,0,0,2,3
5923,1815,5317,5190,8495,7230,0,0,0,2,4
5673,1264,5923,5317,5190,7453,0,0,0,2,5
10434,1177,5673,5923,5317,12784,0,0,1,6,6
7209,487,10434,5673,5923,12226,0,0,1,6,7
3796,1142,7209,10434,5673,8495,0,0,0,2,1
4216,922,3796,7209,10434,5190,0,0,0,2,2
4108,1113,4216,3796,7209,5317,0,0,0,2,3
3889,1259,4108,4216,3796,5923,0,0,0,2,4
5489,1732,3889,4108,4216,5673,0,0,0,2,5
9564,1087,5489,3889,4108,10434,0,0,1,6,6
5590,518,9564,5489,3889,7209,0,0,1,6,7
2255,507,5590,9564,5489,3796,1,0,0,2,1
1443,542,2255,5590,9564,4216,0,0,0,2,2
3440,834,1443,2255,5590,4108,0,0,0,2,3
3273,641,3440,1443,2255,3889,0,0,0,2,4
3404,821,3273,3440,1443,5489,0,0,0,2,5
3402,445,3404,3273,3440,9564,1,0,1,6,6
1746,546,3402,3404,3273,5590,0,0,1,6,7
3383,1184,1746,3402,3404,2255,0,0,0,1,1
2599,701,3383,1746,3402,1443,0,0,0,1,2
1810,628,2599,3383,1746,3440,0,0,0,1,3
2781,561,1810,2599,3383,3273,0,0,0,1,4
3148,1160,2781,1810,2599,3404,0,0,0,1,5
6770,621,3148,2781,1810,3402,0,0,1,6,6
4265,269,6770,3148,2781,1746,0,0,1,6,7
1984,527,4265,6770,3148,3383,0,0,0,1,1
1945,587,1984,4265,6770,2599,0,0,0,1,2
1635,492,1945,1984,4265,1810,0,0,0,1,3
1601,492,1635,1945,1984,2781,0,0,0,1,4
2788,741,1601,1635,1945,3148,0,0,0,1,5
5517,1373,2788,1601,1635,6770,0,0,1,6,6
3899,221,5517,2788,1601,4265,0,0,1,6,7
1392,364,3899,5517,2788,1984,0,0,0,1,1
1482,339,1392,3899,5517,1945,0,0,0,1,2
1623,479,1482,1392,3899,1635,0,0,0,1,3
1617,229,1623,1482,1392,1601,0,0,0,1,4
2016,432,1617,1623,1482,2788,0,0,0,1,5
5058,251,2016,1617,1623,5517,0,0,1,6,6
3056,332,5058,2016,1617,3899,0,0,1,6,7
1421,350,3056,5058,2016,1392,0,0,0,1,1
1249,253,1421,3056,5058,1482,0,0,0,1,2
1553,230,1249,1421,3056,1623,0,0,0,1,3
2068,225,1553,1249,1421,1617,0,0,0,1,4
2173,762,2068,1553,1249,2016,0,0,0,1,5
4262,458,2173,2068,1553,5058,0,0,1,6,6
2804,246,4262,2173,2068,3056,0,0,1,6,7
2405,390,2804,4262,2173,1421,0,0,0,1,1
2203,693,2405,2804,4262,1249,0,0,0,1,2
3598,1171,2203,2405,2804,1553,0,1,0,1,3
7723,1978,3598,2203,2405,2068,0,1,0,1,4
13565,1977,7723,3598,2203,2173,0,1,0,1,5
4254,1977,13565,7723,3598,4262,0,0,1,6,6
1568,1976,4254,13565,7723,2804,0,0,1,6,7
1781,1975,1568,4254,13565,2405,1,0,0,1,1
946,1975,1781,1568,4254,2203,0,0,0,1,2
1478,1974,946,1781,1568,3598,0,0,0,1,3
1460,1973,1478,946,1781,7723,0,0,0,1,4
1580,1972,1460,1478,946,13565,0,0,0,1,5
4028,1972,1580,1460,1478,4254,0,0,1,6,6
2345,1971,4028,1580,1460,1568,0,0,1,6,7
1234,1970,2345,4028,1580,1781,0,0,0,1,1
1127,1970,1234,2345,4028,946,0,0,0,1,2
1445,1969,1127,1234,2345,1478,0,0,0,1,3
2508,1968,1445,1127,1234,1460,0,0,0,1,4
2297,1967,2508,1445,1127,1580,0,0,0,1,5
4949,1967,2297,2508,1445,4028,0,0,1,6,6
2784,1966,4949,2297,2508,2345,0,0,1,6,7
1855,1965,2784,4949,2297,1234,0,0,0,1,1
1876,1965,1855,2784,4949,1127,0,0,0,1,2
1419,1964,1876,1855,2784,1445,0,0,0,1,3
1892,1963,1419,1876,1855,2508,0,0,0,1,4
2294,1962,1892,1419,1876,2297,0,0,0,1,5
4872,1962,2294,1892,1419,4949,0,0,1,6,6
2577,1961,4872,2294,1892,2784,0,0,1,6,7
1483,1960,2577,4872,2294,1855,0,0,0,1,1
1093,1960,1483,2577,4872,1876,1,0,0,1,2
1160,1959,1093,1483,2577,1419,1,0,0,1,3
1470,1958,1160,1093,1483,1892,1,0,0,1,4
1815,1958,1470,1160,1093,2294,0,0,0,1,5
4664,1957,1815,1470,1160,4872,1,0,1,6,6
2747,1956,4664,1815,1470,2577,0,0,1,6,7
1788,1955,2747,4664,1815,1483,0,0,0,1,1
1615,1955,1788,2747,4664,1093,0,0,0,1,2
2192,1954,1615,1788,2747,1160,0,0,0,1,3
2810,1953,2192,1615,1788,1470,0,0,0,1,4
3100,1953,2810,2192,1615,1815,0,0,0,1,5
5908,1952,3100,2810,2192,4664,0,0,1,6,6
4278,1951,5908,3100,2810,2747,0,0,1,6,7
2955,1950,4278,5908,3100,1788,0,0,0,1,1
3418,1950,2955,4278,5908,1615,0,0,0,1,2
3594,1949,3418,2955,4278,2192,0,0,0,1,3
4041,1948,3594,3418,2955,2810,0,0,0,1,4
4301,1948,4041,3594,3418,3100,0,0,0,1,5
4854,1947,4301,4041,3594,5908,0,0,1,6,6
3767,1946,4854,4301,4041,4278,0,0,1,6,7
4241,1946,3767,4854,4301,2955,0,0,0,1,1
3096,1945,4241,3767,4854,3418,0,0,0,1,2
